,Brand,Model,Release_Date,Battery,Memory,Display_Size,Display_Refresh_Rate,Primary_Camera,Front_Camera
0,Samsung,Galaxy S,"Jun 02, 2010",1500.0,0.5,4.0,,5.0,0.3 
1,Samsung,Galaxy S II,"Apr 28, 2011",1650.0,1.0,4.3,,8.0,2 
2,Samsung,Galaxy S III,"May 22, 2012",2100.0,1.0,4.8,,8.0,1.9 
3,Samsung,Galaxy S III mini,,1500.0,1.0,4.0,,5.0,0.3 
4,Samsung,Galaxy S10,"Mar 08, 2019",3400.0,8.0,6.1,,12.0,10 
5,Samsung,Galaxy S10+,"Mar 08, 2019",4100.0,8.0,6.4,,12.0,10 
6,Samsung,Galaxy S10e,"Mar 08, 2019",3100.0,6.0,5.8,,12.0,10 
7,Samsung,Galaxy S20,"Mar 06, 2020",4000.0,12.0,6.2,120.0,12.0,10 
8,Samsung,Galaxy S20 Ultra ,"Mar 06, 2020",5000.0,12.0,6.9,120.0,108.0,40 
9,Samsung,Galaxy S20+,"Mar 06, 2020",4500.0,12.0,6.7,120.0,12.0,10 
10,Samsung,Galaxy S21,"Jan 29, 2021",4000.0,8.0,6.2,120.0,12.0,10 
11,Samsung,Galaxy S21 Ultra,"Jan 29, 2021",5000.0,12.0,6.8,120.0,108.0,40 
12,Samsung,Galaxy S21+,"Jan 29, 2021",4800.0,8.0,6.7,120.0,12.0,10 
13,Samsung,Galaxy S6,"Apr 10, 2015",2550.0,3.0,5.1,,16.0,5 
14,Samsung,Galaxy S6 edge,"Apr 10, 2015",2600.0,3.0,5.1,,16.0,5 
15,Samsung,Galaxy S7,"Mar 11, 2016",3000.0,4.0,5.1,60.0,12.0,5 
16,Samsung,Galaxy S7 edge,"Mar 11, 2016",3600.0,4.0,5.5,,12.0,5 
17,Samsung,Galaxy S8,"Apr 21, 2017",3000.0,4.0,5.8,,12.0,8 
18,Samsung,Galaxy S8+,"Apr 21, 2017",3500.0,4.0,6.2,,12.0,8 
19,Samsung,Galaxy S9,"Mar 16, 2018",3000.0,4.0,5.8,,12.0,8 
20,Samsung,Galaxy S9+,"Mar 16, 2018",3500.0,6.0,6.2,,12.0,8 
21,Apple,iPhone,"Jun 29, 2007",1400.0,0.1,3.5,,2.0,
22,Apple,iPhone 11,"Sep 20, 2019",3110.0,4.0,6.1,,12.0,12 
23,Apple,iPhone 11 Pro,"Sep 20, 2019",3046.0,4.0,5.8,,12.0,12 
24,Apple,iPhone 11 Pro Max,"Sep 20, 2019",3969.0,4.0,6.5,,12.0,12 
25,Apple,iPhone 12,"Oct 23, 2020",2815.0,4.0,6.1,60.0,12.0,12 
26,Apple,iPhone 12 Pro Max,"Nov 13, 2020",3687.0,6.0,6.7,60.0,12.0,12 
27,Apple,iPhone 12 mini,"Nov 13, 2020",2227.0,4.0,5.4,60.0,12.0,12 
28,Apple,iPhone 3GS,"Jun 19, 2009",1219.0,0.25,3.5,,3.0,
29,Apple,iPhone 4,"Jun 24, 2010",1420.0,0.5,3.5,,5.0,0.3 
30,Apple,iPhone 4S,"Oct 14, 2011",,0.5,3.5,,8.0,0.3 
31,Apple,iPhone 5,"Sep 21, 2012",1440.0,1.0,4.0,,8.0,1.2 
32,Apple,iPhone 5S,"Sep 20, 2013",1570.0,1.0,4.0,,8.0,1.2 
33,Apple,iPhone 6,"Sep 19, 2014",1810.0,1.0,,,8.0,1.2 
34,Apple,iPhone 6 Plus,"Sep 19, 2014",2915.0,1.0,5.5,,8.0,1.2 
35,Apple,iPhone 6S,"Sep 25, 2015",1715.0,2.0,4.7,,12.0,5 
36,Apple,iPhone 6S Plus,"Sep 25, 2015",2750.0,2.0,5.5,,12.0,5 
37,Apple,iPhone 7,"Sep 16, 2016",1960.0,2.0,4.7,60.0,12.0,7 
38,Apple,iPhone 7 Plus,"Sep 16, 2016",2900.0,3.0,5.5,,12.0,7 
39,Apple,iPhone 8,"Sep 22, 2017",1821.0,2.0,4.7,,12.0,7 
40,Apple,iPhone 8 Plus,"Sep 22, 2017",2691.0,3.0,5.5,,12.0,7 
41,Apple,iPhone SE (2nd generation),"Apr 24, 2020",1821.0,3.0,4.7,,12.0,7 
42,Apple,iPhone X,"Nov 03, 2017",2716.0,3.0,5.8,,12.0,7 
43,Apple,iPhone XR,"Oct 26, 2018",2942.0,3.0,6.1,,12.0,7 
44,Apple,iPhone XS,"Sep 21, 2018",2659.0,4.0,5.8,,12.0,7 
45,Apple,iPhone XS Max,"Sep 21, 2018",3179.0,4.0,6.5,,12.0,7 
46,Samsung,Galaxy Note 3,"Sep 25, 2013",3200.0,3.0,5.7,,13.0,2 
47,Samsung,Galaxy Note 4,"Sep 29, 2014",3220.0,3.0,5.7,,16.0,3.7 
48,Samsung,Galaxy Note 8,"Sep 15, 2017",3300.0,6.0,6.3,,12.0,8 
49,Samsung,Galaxy Note 9,"Aug 24, 2018",4000.0,6.0,6.4,,12.0,8 
