Model,DesignScore,ReleasePrice
Galaxy Note,,299
Galaxy Note 3,0.658243663,700
Galaxy Note 4,0.632575758,700
Galaxy Note 8,0.810121143,930
Galaxy Note 9,0.642808112,999
Galaxy Note II,0.87030698,299
Galaxy S,,399
Galaxy S II,1.158563659,549
Galaxy S III,1.227167751,599
Galaxy S III Mini,1.227167751,480
Galaxy S10,0.836199983,899
Galaxy S10+,0.836199983,999
Galaxy S10e,0.745826526,749
Galaxy S20,0.249865342,999
Galaxy S20 Ultra,0.249865342,1399
Galaxy S20+,0.249865342,1199
Galaxy S21,1.679513953,799
Galaxy S21 Ultra,1.679513953,1199
Galaxy S21+,1.679513953,999
Galaxy S4,0.773333587,649
Galaxy S6,0.811933012,649
Galaxy S6 edge,0.811933012,749
Galaxy S7,0.829793763,669
Galaxy S7 edge,0.829793763,769
Galaxy S8,0.660246852,749
Galaxy S8+,0.660246852,849
Galaxy S9,0.677682497,719
Galaxy S9+,0.677682497,839
iPhone,,499
iPhone 11,0.374305182,699
iPhone 11 Pro,0.374305182,999
iPhone 11 Pro Max,0.374305182,1099
iPhone 12,1.163754055,799
iPhone 12 Mini,1.163754055,699
iPhone 12 Pro Max,1.163754055,1099
iPhone 3GS,,499
iPhone 4,,649
iPhone 4S,,649
iPhone 5 ,,649
iPhone 5S,,649
iPhone 6,,649
iPhone 6 Plus,,749
iPhone 6S,0.062675219,160.08
iPhone 6S Plus,0.062675219,239.98
iPhone 7,0.926147822,649
iPhone 7 Plus,0.926147822,769
iPhone 8,0.666424572,699
iPhone 8 Plus,0.666424572,799
iPhone SE (2nd generation),0.908383784,399
iPhone X,0.879231393,999
iPhone XR,0.42054898,749
iPhone XS,0.973519682,999
iPhone XS Max,0.798622734,1099
